,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
30,49,4.9,5,2,11,14,9,10,11,14,11,12,11,12,10,14,0,0,0,0,0,0,0,0,5.2,9.4,0.9662229938271604,0.188,1,9.4,0.9662229938271604,0.188,5.2,26,59713643048,50,107.50529289245605,107.50529289245605,0.0004038810729980469
31,97,9.7,5,2,11,14,9,12,10,11,9,11,12,14,10,14,9,11,0,0,0,0,0,0,14.0,15.0,0.9474272486772487,0.3,1,15.0,0.9474272486772487,0.3,14.0,27,59713643048,50,118.18302607536316,118.18302607536316,0.0003399848937988281
32,13,1.3,5,2,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,3.4,5.8,0.9395998677248676,0.116,1,5.8,0.9395998677248676,0.116,3.4,0,59713643048,50,146.12997150421143,146.12997150421143,0.0003483295440673828
33,13,1.3,5,2,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,3.4,5.8,0.9395998677248676,0.116,1,5.8,0.9395998677248676,0.116,3.4,0,59713643048,50,146.12997150421143,146.12997150421143,0.00033855438232421875
34,80,8.0,5,2,11,12,10,11,11,14,11,12,12,13,10,11,0,0,0,0,0,0,0,0,4.6,6.8,0.9556790123456788,0.136,1,6.8,0.9556790123456788,0.136,4.6,28,59713643048,50,78.73717713356018,78.73717713356018,0.00033402442932128906
35,12,1.2,5,2,11,13,12,14,11,14,9,13,9,12,10,13,0,0,0,0,0,0,0,0,4.0,6.0,0.9594174382716049,0.12,1,6.0,0.9594174382716049,0.12,4.0,29,59713643048,50,127.55792212486267,127.55792212486267,0.0003383159637451172
36,116,11.6,5,3,10,13,11,12,10,12,10,12,10,11,12,13,0,0,0,0,0,0,0,0,7.2,9.2,0.958533950617284,0.184,1,9.2,0.958533950617284,0.184,7.2,30,59713643048,50,82.73948764801025,82.73948764801025,0.00033211708068847656
37,74,7.4,5,3,10,13,11,13,11,14,11,12,10,11,11,13,12,13,9,10,0,0,0,0,9.8,11.4,0.9469849537037036,0.228,1,11.4,0.9469849537037036,0.228,9.8,31,59713643048,50,121.86246800422668,121.86246800422668,0.000331878662109375
38,16,1.6,5,3,11,13,12,14,12,14,11,14,9,11,9,10,12,14,0,0,0,0,0,0,3.4,6.4,0.9616402116402115,0.128,1,6.4,0.9616402116402115,0.128,3.4,32,59713643048,50,127.89817309379578,127.89817309379578,0.00033020973205566406
39,99,9.9,5,3,12,13,12,14,9,12,9,11,9,10,0,0,0,0,0,0,0,0,0,0,5.8,8.2,0.9756851851851851,0.164,1,8.2,0.9756851851851851,0.164,5.8,33,59713643048,50,70.99414157867432,70.99414157867432,0.0003387928009033203
40,12,1.2,5,3,11,12,12,14,9,13,12,13,9,12,10,11,0,0,0,0,0,0,0,0,2.0,5.2,0.9332137345679014,0.104,1,5.2,0.9332137345679014,0.104,2.0,34,59713643048,50,116.52745223045349,116.52745223045349,0.00034165382385253906
41,11,1.1,5,3,10,11,11,12,12,13,11,14,11,12,9,13,9,10,0,0,0,0,0,0,3.0,4.4,0.9255886243386241,0.088,1,4.4,0.9255886243386241,0.088,3.0,35,59713643048,50,132.39044380187988,132.39044380187988,0.00034308433532714844
42,12,1.2,5,3,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,2.0,5.2,0.9339781746031746,0.104,1,5.2,0.9339781746031746,0.104,2.0,36,59713643048,50,150.65709567070007,150.65709567070007,0.0003409385681152344
43,13,1.3,5,3,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,3.4,5.8,0.9395998677248676,0.116,1,5.8,0.9395998677248676,0.116,3.4,0,59713643048,50,146.12997150421143,146.12997150421143,0.00033926963806152344
44,12,1.2,5,3,11,13,12,14,11,14,9,13,9,12,0,0,0,0,0,0,0,0,0,0,4.2,5.4,0.9345555555555555,0.108,1,5.4,0.9345555555555555,0.108,4.2,37,59713643048,50,142.18578147888184,142.18578147888184,0.00033164024353027344
45,12,1.2,5,3,11,12,12,14,12,14,12,13,9,13,9,12,10,13,0,0,0,0,0,0,3.0,6.0,0.9449371693121692,0.12,1,6.0,0.9449371693121692,0.12,3.0,38,59713643048,50,136.01064157485962,136.01064157485962,0.0003364086151123047
46,11,1.1,5,3,10,14,11,14,10,11,9,13,11,12,11,14,9,10,0,0,0,0,0,0,5.2,5.4,0.9119146825396826,0.108,1,5.4,0.9119146825396826,0.108,5.2,11,59713643048,50,204.05786156654358,204.05786156654358,0.0003285408020019531
47,11,1.1,5,3,10,14,11,14,10,11,9,13,11,12,11,14,9,10,0,0,0,0,0,0,5.2,5.4,0.9119146825396826,0.108,1,5.4,0.9119146825396826,0.108,5.2,11,59713643048,50,204.05786156654358,204.05786156654358,0.0003266334533691406
48,11,1.1,5,4,10,14,11,14,10,11,9,13,11,12,11,14,9,10,0,0,0,0,0,0,5.2,5.4,0.9119146825396826,0.108,1,5.4,0.9119146825396826,0.108,5.2,11,59713643048,50,204.05786156654358,204.05786156654358,0.0003421306610107422
49,11,1.1,5,4,10,14,11,14,10,11,9,13,11,12,11,14,9,10,0,0,0,0,0,0,5.2,5.4,0.9119146825396826,0.108,1,5.4,0.9119146825396826,0.108,5.2,11,59713643048,50,204.05786156654358,204.05786156654358,0.00033855438232421875
50,12,1.2,5,4,11,12,12,14,12,14,12,13,9,13,9,12,10,11,0,0,0,0,0,0,2.0,5.2,0.9339781746031746,0.104,1,5.2,0.9339781746031746,0.104,2.0,36,59713643048,50,150.65709567070007,150.65709567070007,0.00034117698669433594
51,11,1.1,5,4,10,11,11,14,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,2.2,3.4,0.9114814814814812,0.068,1,3.4,0.9114814814814812,0.068,2.2,24,59713643048,50,152.09263110160828,152.09263110160828,0.00033211708068847656
52,12,1.2,5,4,11,12,12,14,12,14,11,14,9,10,10,11,0,0,0,0,0,0,0,0,3.0,3.2,0.9365586419753086,0.064,1,3.2,0.9365586419753086,0.064,3.0,39,59713643048,50,114.01050400733948,114.01050400733948,0.0003337860107421875
53,116,11.6,5,4,10,13,11,13,9,12,11,12,9,10,12,14,9,10,0,0,0,0,0,0,10.8,11.6,0.9170502645502644,0.232,1,11.6,0.9170502645502644,0.232,10.8,40,59713643048,50,131.4598503112793,131.4598503112793,0.00034618377685546875
54,11,1.1,5,4,10,11,11,12,10,11,11,14,11,12,9,10,0,0,0,0,0,0,0,0,0.8,2.6,0.9197839506172837,0.052,1,2.6,0.9197839506172837,0.052,0.8,41,59713643048,50,126.47818779945374,126.47818779945374,0.0003380775451660156
55,11,1.1,5,4,10,11,11,14,11,12,11,14,11,12,9,12,9,10,0,0,0,0,0,0,4.4,4.2,0.922195767195767,0.084,1,4.2,0.922195767195767,0.084,4.4,42,59713643048,50,154.5214147567749,154.5214147567749,0.0003333091735839844
56,11,1.1,5,4,10,11,11,12,12,13,11,14,11,12,9,13,9,10,0,0,0,0,0,0,3.0,4.4,0.9255886243386241,0.088,1,4.4,0.9255886243386241,0.088,3.0,35,59713643048,50,132.39044380187988,132.39044380187988,0.00032591819763183594
57,11,1.1,5,4,10,14,11,14,10,11,9,13,11,12,11,14,9,10,0,0,0,0,0,0,5.2,5.4,0.9119146825396826,0.108,1,5.4,0.9119146825396826,0.108,5.2,11,59713643048,50,204.05786156654358,204.05786156654358,0.0003902912139892578
58,31,3.1,5,4,10,11,11,12,12,13,11,14,11,12,9,13,9,10,0,0,0,0,0,0,4.0,7.2,0.9543022486772486,0.144,1,7.2,0.9543022486772486,0.144,4.0,43,59713643048,50,110.86315441131592,110.86315441131592,0.00033926963806152344
59,11,1.1,5,4,10,11,11,14,10,11,11,14,11,12,9,10,9,10,0,0,0,0,0,0,3.0,3.6,0.9030555555555554,0.072,1,3.6,0.9030555555555554,0.072,3.0,44,59713643048,50,172.0787284374237,172.0787284374237,0.0003447532653808594
60,12,1.2,5,5,11,12,12,14,10,14,10,11,0,0,0,0,0,0,0,0,0,0,0,0,1.6,3.2,0.9503298611111111,0.064,1,3.2,0.9503298611111111,0.064,1.6,45,59713643048,50,79.13832426071167,79.13832426071167,0.0003247261047363281
61,10,1.0,5,5,10,11,10,12,11,14,11,12,9,13,9,10,0,0,0,0,0,0,0,0,2.6,4.2,0.9480439814814813,0.084,1,4.2,0.9480439814814813,0.084,2.6,46,59713643048,50,143.79866361618042,143.79866361618042,0.0003390312194824219
62,11,1.1,5,5,11,12,11,12,12,13,11,14,10,11,10,14,9,10,0,0,0,0,0,0,2.2,4.4,0.9255886243386241,0.088,1,4.4,0.9255886243386241,0.088,2.2,47,59713643048,50,129.65548372268677,129.65548372268677,0.0003376007080078125
63,12,1.2,5,5,9,10,11,12,12,14,9,13,10,11,10,11,0,0,0,0,0,0,0,0,3.4,3.6,0.9147685185185184,0.072,1,3.6,0.9147685185185184,0.072,3.4,48,59713643048,50,130.03029775619507,130.03029775619507,0.0003287792205810547
64,12,1.2,5,5,10,12,12,14,9,13,12,13,9,12,9,10,0,0,0,0,0,0,0,0,3.8,5.0,0.9448533950617284,0.1,1,5.0,0.9448533950617284,0.1,3.8,49,59713643048,50,131.35206580162048,131.35206580162048,0.0003323554992675781
65,11,1.1,5,5,10,11,11,14,10,11,11,14,11,12,10,11,0,0,0,0,0,0,0,0,1.6,3.4,0.9114814814814812,0.068,1,3.4,0.9114814814814812,0.068,1.6,50,59713643048,50,146.07183003425598,146.07183003425598,0.00032973289489746094
