robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,robot_speed_kmh,num_delivery_rate,utilization_rate,num_risk
9.0,12.0,10.0,14.0,9.0,13.0,10.0,12.0,9.0,11.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.32,0.959182098765432,12.6
11.0,13.0,10.0,12.0,12.0,14.0,12.0,14.0,11.0,13.0,12.0,14.0,9.0,12.0,10.0,11.0,0.0,0.0,0.0,0.0,4.4,0.236,0.9799421296296296,8.0
11.0,12.0,9.0,11.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,10.0,11.0,9.0,11.0,0.0,0.0,12.5,0.4,0.9588940329218106,15.2
11.0,14.0,10.0,12.0,11.0,12.0,11.0,13.0,11.0,14.0,9.0,10.0,10.0,14.0,9.0,13.0,12.0,13.0,0.0,0.0,12.5,0.392,0.955619855967078,16.4
10.0,14.0,12.0,13.0,9.0,12.0,9.0,13.0,11.0,13.0,11.0,13.0,11.0,14.0,10.0,14.0,0.0,0.0,0.0,0.0,15.6,0.452,0.9712471064814814,17.2
10.0,12.0,11.0,12.0,12.0,14.0,11.0,13.0,11.0,14.0,10.0,14.0,9.0,13.0,9.0,10.0,0.0,0.0,0.0,0.0,18.0,0.38,0.9683043981481481,14.4
11.0,14.0,9.0,10.0,12.0,14.0,11.0,12.0,9.0,10.0,10.0,11.0,11.0,14.0,10.0,11.0,13.0,14.0,0.0,0.0,17.4,0.28,0.9631430041152262,10.2
12.0,14.0,9.0,11.0,12.0,14.0,10.0,13.0,11.0,14.0,9.0,13.0,11.0,13.0,11.0,13.0,0.0,0.0,0.0,0.0,17.2,0.4,0.9676417824074074,17.8
12.0,14.0,11.0,14.0,11.0,14.0,12.0,14.0,9.0,11.0,10.0,11.0,11.0,14.0,9.0,12.0,9.0,12.0,9.0,11.0,16.2,0.48,0.9695277777777778,17.2
9.0,12.0,10.0,14.0,11.0,14.0,11.0,13.0,9.0,11.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.304,0.9730246913580247,11.4
9.0,11.0,10.0,12.0,9.0,13.0,9.0,11.0,9.0,11.0,10.0,13.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.34,0.9667757936507936,10.4
10.0,14.0,12.0,13.0,10.0,12.0,12.0,14.0,9.0,13.0,11.0,13.0,11.0,13.0,11.0,14.0,10.0,13.0,0.0,0.0,15.1,0.456,0.9782664609053496,16.8
10.0,11.0,9.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,10.0,11.0,9.0,11.0,0.0,0.0,13.1,0.416,0.9538040123456789,18.2
10.0,14.0,9.0,13.0,11.0,13.0,9.0,10.0,11.0,13.0,11.0,14.0,10.0,11.0,11.0,13.0,9.0,12.0,12.0,14.0,16.0,0.476,0.9652453703703703,20.0
12.0,14.0,9.0,11.0,10.0,11.0,10.0,14.0,12.0,14.0,9.0,12.0,10.0,11.0,12.0,13.0,0.0,0.0,0.0,0.0,1.8,0.156,0.9497280092592592,4.6
10.0,11.0,9.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,9.0,10.0,9.0,11.0,0.0,0.0,13.1,0.416,0.9538040123456789,17.4
11.0,14.0,10.0,14.0,9.0,13.0,12.0,14.0,11.0,12.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.292,0.9668827160493826,11.2
10.0,11.0,9.0,12.0,9.0,13.0,9.0,12.0,11.0,12.0,9.0,13.0,9.0,12.0,9.0,10.0,9.0,11.0,0.0,0.0,13.0,0.416,0.955159465020576,17.4
9.0,12.0,11.0,14.0,11.0,12.0,9.0,11.0,11.0,13.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.252,0.9761496913580247,7.6
