robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,robot_speed_kmh,delivery_rate,utilization_rate,num_risks,run,problem,approach,generations,min_req,max_req
12,0,9,0,9,0,11,0,9,0,10,1,9,0,9,0,9,0,9,0,11,0.02192235,0.70142156,0.0,25,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,10,0,11,0,10,0,9,0,9,2,12,3,10,3,9,0,10,2,25,0.0,0.4402851,2.361581,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,0,9,2,9,0,9,0,25,0.032741815,0.40506253,0.16785748,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,0,9,2,9,0,10,0,25,0.032741815,0.40506253,0.16785748,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,3,10,0,9,0,10,1,10,0.0,0.9146024,0.45605487,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,10,0,11,0,10,0,9,0,9,2,12,3,10,3,9,0,10,2,25,0.0,0.4402851,2.361581,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,0,9,0,9,0,10,0,10,0.0,0.69272906,0.53406125,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,3,10,0,9,0,10,1,10,0.0,0.9146024,0.45605487,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,0,9,0,9,0,10,0,10,0.0,0.69272906,0.53406125,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,0,9,2,9,0,9,0,25,0.032741815,0.40506253,0.16785748,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
12,0,10,0,11,0,10,0,9,0,9,2,12,3,10,3,9,0,10,2,25,0.0,0.4402851,2.361581,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,3,10,0,9,0,10,1,10,0.0,0.9146024,0.45605487,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
11,0,10,0,11,0,9,0,9,0,9,2,12,0,9,0,9,0,10,0,10,0.0,0.69272906,0.53406125,24,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,3,9,0,9,0,12,0,10,0,10,3,12,0,11,0,12,0,51,0.0,0.40162814,1.501003,30,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,3,9,0,9,0,12,0,10,0,10,3,12,0,11,0,12,0,51,0.0,0.40162814,1.501003,30,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,3,9,0,9,0,12,0,10,0,10,3,12,0,11,0,12,0,51,0.0,0.40162814,1.501003,30,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,3,9,0,9,0,12,0,10,0,10,3,12,0,11,0,12,0,51,0.0,0.40162814,1.501003,30,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,3,9,0,9,0,12,0,10,0,10,3,12,0,11,0,12,0,51,0.0,0.40162814,1.501003,30,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,3,9,0,9,0,12,0,10,0,10,3,12,0,11,0,12,0,51,0.0,0.40162814,1.501003,30,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
10,0,10,3,9,0,9,0,12,0,10,0,10,3,12,0,11,0,12,0,51,0.0,0.40162814,1.501003,30,RobotScheduleVariableRobotsIncrementalData,incremental_data,42,50,50
